epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3247,1.14425,2.05039,1.29592,0.66308,0.60974,0.68584,0.46506,1.14223,1.71531,1.27352,0.000366554,0.000366554,0.000366554
2,94.3774,1.02094,1.10817,1.17409,0.70756,0.66461,0.70527,0.45518,1.15859,1.4407,1.35458,0.00071865,0.00071865,0.00071865
3,140.266,1.00828,1.03907,1.17338,0.63269,0.67448,0.68031,0.44262,1.23748,1.30013,1.39796,0.00105241,0.00105241,0.00105241
4,186.806,0.97257,0.93069,1.15342,0.76712,0.72747,0.77748,0.52604,1.1685,1.12813,1.36357,0.00102851,0.00102851,0.00102851
5,232.92,0.98023,0.88294,1.15326,0.7209,0.71325,0.75917,0.53512,1.08431,1.03537,1.25985,0.00100101,0.00100101,0.00100101
6,267.294,0.92159,0.80081,1.1273,0.82711,0.74184,0.82153,0.5694,1.06947,0.89884,1.27768,0.000973514,0.000973514,0.000973514
7,296.829,0.905,0.75422,1.11557,0.7678,0.72077,0.77779,0.55351,1.06543,0.93088,1.24782,0.000946016,0.000946016,0.000946016
8,322.871,0.89663,0.72845,1.10825,0.82287,0.75745,0.81396,0.59195,1.03182,0.83888,1.21753,0.000918519,0.000918519,0.000918519
9,348.864,0.87963,0.68483,1.08622,0.81085,0.81695,0.8293,0.59928,0.99095,0.77782,1.18879,0.000891022,0.000891022,0.000891022
10,374.853,0.88397,0.68005,1.09018,0.8038,0.74877,0.80386,0.58644,0.99015,0.83673,1.21429,0.000863525,0.000863525,0.000863525
11,401.293,0.86226,0.65363,1.08371,0.79866,0.75661,0.8143,0.59923,0.99782,0.74174,1.17299,0.000836027,0.000836027,0.000836027
12,427.181,0.84973,0.62884,1.08042,0.83522,0.77177,0.83104,0.61917,0.94219,0.71707,1.17205,0.00080853,0.00080853,0.00080853
13,453.221,0.83823,0.61844,1.07585,0.83839,0.78829,0.84497,0.62549,0.93627,0.6858,1.14672,0.000781033,0.000781033,0.000781033
14,479.211,0.83392,0.60068,1.06713,0.83568,0.81508,0.85862,0.63331,0.94614,0.69061,1.15223,0.000753536,0.000753536,0.000753536
15,505.671,0.82498,0.58407,1.06677,0.80346,0.81722,0.84808,0.63739,0.9075,0.66283,1.12388,0.000726038,0.000726038,0.000726038
16,532.137,0.81899,0.58198,1.05398,0.86374,0.80487,0.87919,0.65914,0.92402,0.63876,1.11835,0.000698541,0.000698541,0.000698541
17,559.818,0.80733,0.56189,1.05964,0.85621,0.8378,0.87478,0.64895,0.9266,0.63302,1.14442,0.000671044,0.000671044,0.000671044
18,586.889,0.79067,0.54533,1.04374,0.79754,0.84278,0.86673,0.65039,0.91634,0.62063,1.12201,0.000643547,0.000643547,0.000643547
19,613.24,0.7903,0.54044,1.04003,0.87847,0.80859,0.87839,0.66765,0.89403,0.60524,1.11298,0.000616049,0.000616049,0.000616049
20,640.254,0.77185,0.52394,1.03585,0.86457,0.81488,0.88108,0.6592,0.89565,0.61611,1.11091,0.000588552,0.000588552,0.000588552
21,666.611,0.76808,0.52546,1.02773,0.87306,0.82975,0.88583,0.66631,0.88454,0.59027,1.10402,0.000561055,0.000561055,0.000561055
22,693.078,0.76586,0.51452,1.03373,0.86896,0.86648,0.89591,0.68396,0.8758,0.57656,1.09608,0.000533558,0.000533558,0.000533558
23,719.015,0.75708,0.5053,1.02458,0.84042,0.85929,0.88717,0.67151,0.867,0.56623,1.0951,0.00050606,0.00050606,0.00050606
24,744.53,0.75727,0.49566,1.02731,0.90798,0.82068,0.88435,0.66829,0.87617,0.56833,1.0962,0.000478563,0.000478563,0.000478563
25,770.184,0.74039,0.48022,1.01196,0.89048,0.8276,0.89091,0.68743,0.84904,0.54114,1.08481,0.000451066,0.000451066,0.000451066
26,796.626,0.74192,0.48295,1.01391,0.86971,0.82993,0.8719,0.66876,0.86498,0.57033,1.09821,0.000423569,0.000423569,0.000423569
27,824.574,0.72023,0.46862,1.00283,0.89107,0.84789,0.88416,0.67211,0.85816,0.54958,1.08716,0.000396071,0.000396071,0.000396071
28,851.45,0.71673,0.45506,1.00693,0.90577,0.87356,0.91007,0.709,0.8448,0.53042,1.07527,0.000368574,0.000368574,0.000368574
29,877.02,0.72764,0.46228,1.00946,0.89699,0.85132,0.89537,0.69112,0.82829,0.52758,1.0671,0.000341077,0.000341077,0.000341077
30,906.822,0.71437,0.45109,1.00529,0.87404,0.8458,0.89052,0.69326,0.83267,0.51463,1.06261,0.00031358,0.00031358,0.00031358
31,964.379,0.6956,0.40808,0.99234,0.89182,0.86763,0.90973,0.7114,0.83115,0.50966,1.06521,0.000286083,0.000286083,0.000286083
32,995.396,0.68311,0.39027,0.98433,0.87349,0.8658,0.90597,0.70465,0.81315,0.50632,1.05839,0.000258585,0.000258585,0.000258585
33,1026.18,0.67271,0.38508,0.98013,0.90591,0.84683,0.90848,0.70782,0.80694,0.49339,1.04528,0.000231088,0.000231088,0.000231088
34,1057.69,0.66078,0.37735,0.9678,0.9313,0.86813,0.92998,0.72995,0.79813,0.48089,1.03861,0.000203591,0.000203591,0.000203591
35,1082.54,0.65811,0.37249,0.96403,0.92008,0.86037,0.91813,0.72682,0.79172,0.47545,1.03531,0.000176094,0.000176094,0.000176094
36,1107.52,0.6439,0.36304,0.95707,0.89881,0.88311,0.92378,0.72715,0.78803,0.46487,1.03581,0.000148596,0.000148596,0.000148596
37,1132.25,0.64261,0.35981,0.96131,0.91739,0.88383,0.9273,0.72542,0.78492,0.45626,1.03594,0.000121099,0.000121099,0.000121099
38,1156.81,0.63388,0.35274,0.95679,0.927,0.86902,0.91504,0.72521,0.77516,0.46596,1.02828,9.36017e-05,9.36017e-05,9.36017e-05
39,1181.22,0.62547,0.34543,0.94949,0.93554,0.86157,0.91732,0.72522,0.77087,0.46364,1.0285,6.61045e-05,6.61045e-05,6.61045e-05
40,1211.83,0.61672,0.3391,0.94372,0.92856,0.87775,0.9232,0.73103,0.76948,0.45485,1.02673,3.86073e-05,3.86073e-05,3.86073e-05
